roundNumber,half,attackingTeamId,team1Load,team2Load,winningTeamId,,
1,0,1,3650,3650,1,,
2,0,1,5250,16650,1,,
3,0,1,21700,16700,0,,
4,0,1,22400,6000,0,,
5,0,1,23000,22400,1,,
6,0,1,22800,8500,1,,
7,0,1,22400,24200,1,,
8,0,1,23000,12400,0,,
9,0,1,23000,22150,0,,
10,0,1,22000,24000,0,,
11,0,1,12600,24200,0,,
12,0,1,22550,25000,0,,
13,1,0,3150,3700,1,,
14,1,0,17550,4250,1,,
15,1,0,16500,19300,0,,
16,1,0,21100,22150,1,,
17,1,0,19250,22700,1,,
18,1,0,20400,10200,1,,
19,1,0,22650,21200,0,,
20,1,0,22800,20850,0,,
21,1,0,22800,19100,0,,
22,1,0,19550,19100,0,,
23,1,0,7500,22200,0,,
1,0,0,3800,3400,0,,
2,0,0,16950,1900,0,,
3,0,0,15800,21200,1,,
4,0,0,23400,21350,1,,
5,0,0,19300,22900,1,,
6,0,0,14300,24700,1,,
7,0,0,24500,24700,1,,
8,0,0,11650,25050,1,,
9,0,0,23200,25500,0,,
10,0,0,23200,25050,1,,
11,0,0,11250,25050,1,,
12,0,0,22400,25550,1,,
13,1,1,4000,3800,0,,
14,1,1,16000,11050,0,,
15,1,1,18000,7000,0,,
16,1,1,19800,23000,0,,
17,1,1,21600,8450,0,,
18,1,1,27300,22900,1,,
19,1,1,23700,22400,0,,
20,1,1,23700,10000,0,,
21,1,1,21300,22400,0,,
22,1,1,23900,19100,0,,
23,1,1,25500,18700,1,,
24,1,1,24100,20800,1,,
1,0,1,3400,3700,1,,
2,0,1,3100,17600,1,,
3,0,1,19600,19050,0,,
4,0,1,21300,22300,0,,
5,0,1,23550,18800,0,,
6,0,1,19600,12100,0,,
7,0,1,21400,22700,1,,
8,0,1,6050,20850,1,,
9,0,1,23250,23700,0,,
10,0,1,23300,20000,1,,
11,0,1,6900,22750,1,,
12,0,1,21900,23700,0,,
13,1,0,3500,3700,0,,
14,1,0,16900,2350,0,,
15,1,0,16200,20000,1,,
16,1,0,22500,17250,1,,
17,1,0,11950,19500,1,,
18,1,0,23100,19650,0,,
19,1,0,23100,3600,0,,
20,1,0,23100,23150,0,,
21,1,0,23100,8450,1,,
22,1,0,25100,25900,1,,
23,1,0,19600,26950,1,,
24,1,0,18500,26250,0,,
1,0,0,3650,3650,1,,
2,0,0,5250,16650,1,,
3,0,0,21700,16700,0,,
4,0,0,22400,6000,0,,
5,0,0,23000,22400,0,,
6,0,0,22800,8500,1,,
7,0,0,22400,24200,0,,
8,0,0,23000,12400,0,,
9,0,0,23000,22150,1,,
10,0,0,22000,24000,1,,
11,0,0,12600,24200,1,,
12,0,0,22550,25000,1,,
13,1,1,3150,3700,0,,
14,1,1,17550,4250,0,,
15,1,1,16500,19300,1,,
16,1,1,21100,22150,0,,
17,1,1,19250,22700,0,,
18,1,1,20400,10200,0,,
19,1,1,22650,21200,0,,
20,1,1,22800,20850,0,,
21,1,1,22800,19100,1,,
22,1,1,19550,19100,1,,
1,0,0,3600,3700,1,,
2,0,0,4100,16900,1,,
3,0,0,19350,18100,0,,
4,0,0,22350,23750,0,,
5,0,0,24850,16750,0,,
6,0,0,26450,22100,1,,
7,0,0,25850,19300,0,,
8,0,0,25850,7550,0,,
9,0,0,25650,23500,0,,
10,0,0,25650,8750,0,,
11,0,0,27100,23450,1,,
12,0,0,26600,23600,0,,
13,1,1,3400,3700,1,,
14,1,1,3950,17500,0,,
15,1,1,23350,8050,0,,
16,1,1,21100,21000,1,,
17,1,1,4750,19950,0,,
18,1,1,24350,7850,0,,
1,0,0,3600,3900,1,,
2,0,0,1400,16250,1,,
3,0,0,22050,12950,0,,
4,0,0,22800,24500,0,,
5,0,0,22150,15850,0,,
6,0,0,23150,24600,1,,
7,0,0,24150,24400,0,,
8,0,0,24350,6850,0,,
9,0,0,24150,22800,0,,
10,0,0,24300,14050,0,,
11,0,0,24300,21700,0,,
12,0,0,22650,18600,0,,
13,1,1,3700,3900,1,,
14,1,1,1200,16900,1,,
15,1,1,20650,16300,1,,
16,1,1,10050,24500,1,,
17,1,1,24500,23200,0,,
18,1,1,24500,23200,1,,
19,1,1,18850,23200,0,,
20,1,1,22850,9000,0,,
21,1,1,25100,22600,1,,
22,1,1,20950,21400,1,,
23,1,1,11200,19700,1,,
24,1,1,22950,25100,0,,
1,0,1,3700,3750,0,,
2,0,1,17950,10400,0,,
3,0,1,17300,6150,0,,
4,0,1,21700,22450,1,,
5,0,1,23000,22200,0,,
6,0,1,23600,15500,0,,
7,0,1,24350,7100,0,,
8,0,1,25450,22000,1,,
9,0,1,24600,20000,0,,
10,0,1,24200,4350,0,,
11,0,1,25250,21600,1,,
12,0,1,26200,22900,0,,
13,1,0,3750,3650,1,,
14,1,0,5300,14550,0,,
15,1,0,19850,6000,0,,
16,1,0,23750,19150,0,,
17,1,0,21450,16200,0,,
1,0,0,3700,3200,0,,
2,0,0,17500,1200,0,,
3,0,0,20000,20900,0,,
4,0,0,24000,5800,1,,
5,0,0,23000,23700,1,,
6,0,0,10500,24000,1,,
7,0,0,22800,24650,0,,
8,0,0,22400,23850,1,,
9,0,0,6400,23850,1,,
10,0,0,20550,25250,1,,
11,0,0,9300,25750,1,,
12,0,0,22900,30000,1,,
13,1,1,3750,3650,1,,
14,1,1,1850,17600,1,,
15,1,1,20850,19050,0,,
16,1,1,19900,19500,0,,
17,1,1,20500,9750,1,,
18,1,1,22200,21350,0,,
19,1,1,22400,20150,0,,
20,1,1,22400,9400,1,,
21,1,1,22400,24050,1,,
1,0,1,3700,3500,1,,
2,0,1,2350,15300,1,,
3,0,1,21000,18200,1,,
4,0,1,8100,23400,1,,
5,0,1,20150,25500,1,,
6,0,1,13850,25500,1,,
7,0,1,21800,25050,0,,
8,0,1,23150,20500,0,,
9,0,1,25050,25050,1,,
10,0,1,22050,25050,1,,
11,0,1,10800,25050,1,,
12,0,1,22250,25850,1,,
13,1,0,3650,3700,0,,
14,1,0,16850,1200,0,,
15,1,0,20300,21000,0,,
16,1,0,20350,9900,1,,
17,1,0,17600,23500,1,,
18,1,0,16150,23400,1,,
