Player,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CLSuc,CLSit,KMax,K,D,A,FK,FD
saadhak,366,1.05,198.2,1.01,0.72,128.5,0.66,0.41,0.08,0.17,0.21,0.08,2,24,26,243,240,149,31,63
Melser,179,1.04,190,1.1,0.73,125.6,0.68,0.33,0.04,0.07,0.26,0.07,2,29,20,121,110,59,8,12
bang,157,1.04,192,1.08,0.71,129.1,0.71,0.36,0.07,0.09,0.4,0.29,4,14,35,112,104,56,11,14
BcJ,285,1.03,199.6,1.01,0.74,128,0.68,0.37,0.1,0.09,0.16,0.22,5,23,24,195,194,106,29,27
ZmjjKK,107,1.03,247.8,1.07,0.74,150.5,0.82,0.15,0.23,0.09,0.25,0.13,2,15,19,88,82,16,25,10
sScary,103,1.02,190.4,1.03,0.72,133.7,0.66,0.32,0,0.05,0.22,0.25,7,28,21,68,66,33,0,5
aspas,366,1.02,215.1,1.05,0.7,138.3,0.75,0.2,0.15,0.15,0.24,0.07,2,29,26,274,261,72,54,54
d4v41,174,1.01,193.3,0.96,0.74,123.7,0.68,0.32,0.05,0.07,0.25,0.35,8,23,20,118,123,56,8,13
Shyy,179,1.01,179.9,0.94,0.74,114.7,0.63,0.49,0.05,0.09,0.25,0.21,3,14,28,113,120,88,9,17
Boaster,319,1.01,182.2,0.88,0.72,120.4,0.58,0.41,0.07,0.09,0.2,0.06,2,36,19,186,211,131,23,30
dgzin,113,1,224,1.1,0.73,139.2,0.81,0.13,0.21,0.1,0.34,0.31,4,13,25,92,84,15,24,11
Smoggy,63,1,221.7,1.06,0.79,144.4,0.79,0.38,0.1,0.08,0.32,0,0,2,22,50,47,24,6,5
Marved,492,0.99,188.5,0.94,0.72,123.2,0.65,0.35,0.09,0.08,0.29,0.2,9,44,22,318,340,171,42,41
stax,416,0.98,172.8,0.99,0.71,116.8,0.64,0.25,0.05,0.06,0.37,0.22,14,63,27,268,270,105,20,24
